13,4,5.0,982972800
29,13,4.0,1054166400
29,4,4.0,1053216000
10,12,2.0,1410134400
10,6,5.0,1387670400
10,20,5.0,1102291200
9,6,5.0,1194048000
12,4,5.0,982713600
36,8,4.0,1190505600
36,19,4.0,1174867200
16,4,5.0,984009600
18,8,4.0,1188691200
18,4,5.0,982627200
25,4,5.0,979171200
34,6,5.0,1094947200
33,4,5.0,970704000
40,14,5.0,1280188800
40,20,5.0,1100476800
7,19,1.0,1428537600
7,2,4.0,1227225600
7,2,5.0,1049673600
28,4,5.0,967420800
5,1,5.0,1285545600
38,20,5.0,1178668800
30,2,5.0,1100908800
24,8,3.0,1188691200
24,2,5.0,1015977600
20,0,3.0,1402876800
20,12,3.0,1291161600
20,2,5.0,1288828800
20,2,5.0,1288137600
20,2,5.0,1288051200
20,2,5.0,1288051200
20,2,5.0,1283644800
20,12,3.0,1268697600
20,12,4.0,1238371200
20,12,3.0,1219104000
20,2,4.0,1213142400
20,2,5.0,1207180800
20,2,4.0,1206921600
20,2,5.0,1200182400
20,8,2.0,1188691200
20,8,3.0,1188691200
20,8,3.0,1188691200
20,8,3.0,1188691200
20,2,4.0,1168387200
20,2,5.0,1161043200
20,2,5.0,1153958400
20,2,5.0,1132272000
20,2,5.0,1130198400
20,2,5.0,1130198400
20,2,5.0,1130112000
20,2,5.0,1127088000
20,2,5.0,1119139200
20,2,5.0,1117411200
20,2,5.0,1117065600
20,2,5.0,1116979200
20,2,4.0,1097366400
20,2,5.0,1043020800
31,8,3.0,1193788800
39,20,4.0,1131753600
31,13,5.0,1039219200
42,18,5.0,1135036800
8,8,5.0,1185926400
37,0,4.0,1390262400
26,8,4.0,1188691200
26,8,4.0,1188691200
26,20,5.0,1141171200
26,4,5.0,1084924800
26,4,5.0,1084924800
46,11,5.0,1066262400
26,4,5.0,967680000
46,4,5.0,945129600
48,2,1.0,1209427200
48,2,2.0,1195776000
27,0,5.0,1308441600
48,2,2.0,1181088000
1,20,4.0,1146009600
1,4,5.0,980380800
50,2,5.0,1412985600
50,2,5.0,1402185600
50,2,5.0,1401926400
50,2,5.0,1401494400
49,8,4.0,1188691200
21,2,4.0,1271289600
21,2,4.0,1270425600
21,2,5.0,1136419200
21,2,5.0,1136419200
21,2,5.0,1133827200
21,2,5.0,1133827200
21,2,5.0,1132531200
21,2,5.0,1131840000
21,2,5.0,1131840000
21,2,5.0,1131148800
21,2,5.0,1047340800
